Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,DATE,early 1926,1926<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1926 1926<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1956,1956<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1956 1956<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of 2020,2020<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2020 2020<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 2053,2053 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 2053 2053 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-second week of 2002,2002<pad>22<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-second week of 2002 2002<pad>22<pad><pad><pad><pad><pad><pad>>
DATE,DATE,may 24th,<pad>05<pad>24<pad><pad><pad><pad><pad>,explicit,<date may 24th <pad>05<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,The day 24,<pad><pad><pad>24<pad><pad><pad><pad><pad>,explicit,<date The day 24 <pad><pad><pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,"on January eleven, two thousand and sixty-six",2066 01<pad>11<pad><pad><pad><pad><pad>,explicit,"<date on January eleven, two thousand and sixty-six 2066 01<pad>11<pad><pad><pad><pad><pad>>"
DATE,DATE,in January 1924,1924 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1924 1924 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1982/10/23,1982 10<pad>23<pad><pad><pad><pad><pad>,explicit,<date 1982/10/23 1982 10<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fourth week of 2062,2062<pad>34<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fourth week of 2062 2062<pad>34<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fourteenth week of 2040,2040<pad>14<pad><pad><pad><pad><pad><pad>,explicit,<date the fourteenth week of 2040 2040<pad>14<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 2055,2055 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 2055 2055 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"July 7, 1958",1958 07<pad>07<pad><pad><pad><pad><pad>,explicit,"<date July 7, 1958 1958 07<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,beginning of October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginning of October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the twenty-seventh,<pad><pad><pad>27<pad><pad><pad><pad><pad>,explicit,<date On the twenty-seventh <pad><pad><pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,in October 1973,1973 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 1973 1973 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,The 8th of March,<pad>03<pad>08<pad><pad><pad><pad><pad>,explicit,<date The 8th of March <pad>03<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,early 1946,1946<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1946 1946<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2066/12/18,2066 12<pad>18<pad><pad><pad><pad><pad>,explicit,<date 2066/12/18 2066 12<pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,On the twenty-eighth,<pad><pad><pad>28<pad><pad><pad><pad><pad>,explicit,<date On the twenty-eighth <pad><pad><pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-fourth week of 1905,1905<pad>44<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fourth week of 1905 1905<pad>44<pad><pad><pad><pad><pad><pad>>
DATE,DATE,"July 22, 2085",2085 07<pad>22<pad><pad><pad><pad><pad>,explicit,"<date July 22, 2085 2085 07<pad>22<pad><pad><pad><pad><pad>>"
DATE,DATE,in May 1980,1980 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1980 1980 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"March 22, 2092",2092 03<pad>22<pad><pad><pad><pad><pad>,explicit,"<date March 22, 2092 2092 03<pad>22<pad><pad><pad><pad><pad>>"
DATE,DATE,"on May 20, 2018",2018 05<pad>20<pad><pad><pad><pad><pad>,explicit,"<date on May 20, 2018 2018 05<pad>20<pad><pad><pad><pad><pad>>"
DATE,DATE,in October 2032,2032 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2032 2032 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,The day 7,<pad><pad><pad>07<pad><pad><pad><pad><pad>,explicit,<date The day 7 <pad><pad><pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,early 1921,1921<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1921 1921<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August 13,<pad>08<pad>13<pad><pad><pad><pad><pad>,explicit,<date August 13 <pad>08<pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,January twenty-eighth,<pad>01<pad>28<pad><pad><pad><pad><pad>,explicit,<date January twenty-eighth <pad>01<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-sixth week of 1918,1918<pad>46<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-sixth week of 1918 1918<pad>46<pad><pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,December 13,<pad>12<pad>13<pad><pad><pad><pad><pad>,explicit,<date December 13 <pad>12<pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1924/5/15,1924 05<pad>15<pad><pad><pad><pad><pad>,explicit,<date 1924/5/15 1924 05<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,the fourteenth week of 1956,1956<pad>14<pad><pad><pad><pad><pad><pad>,explicit,<date the fourteenth week of 1956 1956<pad>14<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2047,2047<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2047 2047<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the ten of the 10 of two thousand and four,2004 10<pad>10<pad><pad><pad><pad><pad>,explicit,<date the ten of the 10 of two thousand and four 2004 10<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,the sixteenth week of 1919,1919<pad>16<pad><pad><pad><pad><pad><pad>,explicit,<date the sixteenth week of 1919 1919<pad>16<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 21st of the 2nd,<pad>02<pad>21<pad><pad><pad><pad><pad>,explicit,<date the 21st of the 2nd <pad>02<pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-seventh week of 2088,2088<pad>37<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-seventh week of 2088 2088<pad>37<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1987,1987 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1987 1987 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of 2078,2078<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2078 2078<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 11th,<pad><pad><pad>11<pad><pad><pad><pad><pad>,explicit,<date On the 11th <pad><pad><pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,"June 28, 1918",1918 06<pad>28<pad><pad><pad><pad><pad>,explicit,"<date June 28, 1918 1918 06<pad>28<pad><pad><pad><pad><pad>>"
DATE,DATE,early june,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early june <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the twenty-seventh,<pad><pad><pad>27<pad><pad><pad><pad><pad>,explicit,<date On the twenty-seventh <pad><pad><pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,the seventh week of 1954,1954<pad>07<pad><pad><pad><pad><pad><pad>,explicit,<date the seventh week of 1954 1954<pad>07<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1971,1971 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1971 1971 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1915,1915<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1915 1915<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-third week of 1924,1924<pad>23<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-third week of 1924 1924<pad>23<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1922,1922<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1922 1922<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1919/2/10,1919 02<pad>10<pad><pad><pad><pad><pad>,explicit,<date 1919/2/10 1919 02<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the sixteenth week of 1910,1910<pad>16<pad><pad><pad><pad><pad><pad>,explicit,<date the sixteenth week of 1910 1910<pad>16<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2074,2074<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2074 2074<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-seventh week of 1904,1904<pad>27<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-seventh week of 1904 1904<pad>27<pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1983,1983<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1983 1983<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,The 2nd of November,<pad>11<pad>02<pad><pad><pad><pad><pad>,explicit,<date The 2nd of November <pad>11<pad>02<pad><pad><pad><pad><pad>>
DATE,DATE,4th of 8th 1944,1944 08<pad>04<pad><pad><pad><pad><pad>,explicit,<date 4th of 8th 1944 1944 08<pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-seventh week of 1978,1978<pad>47<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-seventh week of 1978 1978<pad>47<pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1954,1954<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1954 1954<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-ninth week of 1917,1917<pad>49<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-ninth week of 1917 1917<pad>49<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2087/5/9,2087 05<pad>09<pad><pad><pad><pad><pad>,explicit,<date 2087/5/9 2087 05<pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,"May 15, 1939",1939 05<pad>15<pad><pad><pad><pad><pad>,explicit,"<date May 15, 1939 1939 05<pad>15<pad><pad><pad><pad><pad>>"
DATE,DATE,On day six,<pad><pad><pad>06<pad><pad><pad><pad><pad>,explicit,<date On day six <pad><pad><pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"May 2, 2056",2056 05<pad>02<pad><pad><pad><pad><pad>,explicit,"<date May 2, 2056 2056 05<pad>02<pad><pad><pad><pad><pad>>"
DATE,DATE,On the 21st,<pad><pad><pad>21<pad><pad><pad><pad><pad>,explicit,<date On the 21st <pad><pad><pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,2048/1/27,2048 01<pad>27<pad><pad><pad><pad><pad>,explicit,<date 2048/1/27 2048 01<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,early January,<pad>01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early January <pad>01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 2011,2011 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2011 2011 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,October 8,<pad>10<pad>08<pad><pad><pad><pad><pad>,explicit,<date October 8 <pad>10<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-sixth of the 10,<pad>10<pad>26<pad><pad><pad><pad><pad>,explicit,<date the twenty-sixth of the 10 <pad>10<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in April 2036,2036 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 2036 2036 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2009,2009 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2009 2009 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eighth week of 1953,1953<pad>08<pad><pad><pad><pad><pad><pad>,explicit,<date the eighth week of 1953 1953<pad>08<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in March 1986,1986 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 1986 1986 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in April 1980,1980 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 1980 1980 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1981/7/3,1981 07<pad>03<pad><pad><pad><pad><pad>,explicit,<date 1981/7/3 1981 07<pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,"the seventeenth of September, two thousand ninety-eight",2098 09<pad>17<pad><pad><pad><pad><pad>,explicit,"<date the seventeenth of September, two thousand ninety-eight 2098 09<pad>17<pad><pad><pad><pad><pad>>"
DATE,DATE,beginnings of November,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginnings of November <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fourteenth week of 2064,2064<pad>14<pad><pad><pad><pad><pad><pad>,explicit,<date the fourteenth week of 2064 2064<pad>14<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On August 21,<pad>08<pad>21<pad><pad><pad><pad><pad>,explicit,<date On August 21 <pad>08<pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twentieth week of 1991,1991<pad>20<pad><pad><pad><pad><pad><pad>,explicit,<date the twentieth week of 1991 1991<pad>20<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1936,1936 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1936 1936 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the seventeenth,<pad><pad><pad>17<pad><pad><pad><pad><pad>,explicit,<date On the seventeenth <pad><pad><pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,6 of 1,<pad>01<pad>06<pad><pad><pad><pad><pad>,explicit,<date 6 of 1 <pad>01<pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,in February 1917,1917 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1917 1917 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifteenth of the 7th,<pad>07<pad>15<pad><pad><pad><pad><pad>,explicit,<date the fifteenth of the 7th <pad>07<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,beginnings of November,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginnings of November <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in December 1960,1960 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 1960 1960 12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 8th of the 3rd,<pad>03<pad>08<pad><pad><pad><pad><pad>,explicit,<date the 8th of the 3rd <pad>03<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,"December 7, 1919",1919 12<pad>07<pad><pad><pad><pad><pad>,explicit,"<date December 7, 1919 1919 12<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,April 23th,<pad>04<pad>23<pad><pad><pad><pad><pad>,explicit,<date April 23th <pad>04<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,the twentieth week of 1992,1992<pad>20<pad><pad><pad><pad><pad><pad>,explicit,<date the twentieth week of 1992 1992<pad>20<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in June 2011,2011 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 2011 2011 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1923,1923<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1923 1923<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,12 of 11,<pad>11<pad>12<pad><pad><pad><pad><pad>,explicit,<date 12 of 11 <pad>11<pad>12<pad><pad><pad><pad><pad>>
DATE,DATE,10 of 7,<pad>07<pad>10<pad><pad><pad><pad><pad>,explicit,<date 10 of 7 <pad>07<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,2022/2/24,2022 02<pad>24<pad><pad><pad><pad><pad>,explicit,<date 2022/2/24 2022 02<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,early 1931,1931<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1931 1931<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in June 1967,1967 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 1967 1967 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"March 20, 1976",1976 03<pad>20<pad><pad><pad><pad><pad>,explicit,"<date March 20, 1976 1976 03<pad>20<pad><pad><pad><pad><pad>>"
DATE,DATE,"November 10, 1966",1966 11<pad>10<pad><pad><pad><pad><pad>,explicit,"<date November 10, 1966 1966 11<pad>10<pad><pad><pad><pad><pad>>"
DATE,DATE,2053/9/11,2053 09<pad>11<pad><pad><pad><pad><pad>,explicit,<date 2053/9/11 2053 09<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,April 15,<pad>04<pad>15<pad><pad><pad><pad><pad>,explicit,<date April 15 <pad>04<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,early 2063,2063<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2063 2063<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-sixth week of 1940,1940<pad>26<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-sixth week of 1940 1940<pad>26<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in June 2096,2096 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 2096 2096 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July 23,<pad>07<pad>23<pad><pad><pad><pad><pad>,explicit,<date July 23 <pad>07<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 1917,1917 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1917 1917 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 2098,2098 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2098 2098 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 8th of the 2nd,<pad>02<pad>08<pad><pad><pad><pad><pad>,explicit,<date the 8th of the 2nd <pad>02<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifth week of 2067,2067<pad>05<pad><pad><pad><pad><pad><pad>,explicit,<date the fifth week of 2067 2067<pad>05<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in February 2062,2062 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 2062 2062 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"February 9, one thousand nine hundred and nine",1909 02<pad>09<pad><pad><pad><pad><pad>,explicit,"<date February 9, one thousand nine hundred and nine 1909 02<pad>09<pad><pad><pad><pad><pad>>"
DATE,DATE,"February 6, 2063",2063 02<pad>06<pad><pad><pad><pad><pad>,explicit,"<date February 6, 2063 2063 02<pad>06<pad><pad><pad><pad><pad>>"
DATE,DATE,2035/5/1,2035 05<pad>01<pad><pad><pad><pad><pad>,explicit,<date 2035/5/1 2035 05<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,1958,1958<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1958 1958<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 2026,2026 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2026 2026 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the sixth week of 2087,2087<pad>06<pad><pad><pad><pad><pad><pad>,explicit,<date the sixth week of 2087 2087<pad>06<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-eighth week of 1911,1911<pad>28<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-eighth week of 1911 1911<pad>28<pad><pad><pad><pad><pad><pad>>
DATE,DATE,October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"October 10, 1945",1945 10<pad>10<pad><pad><pad><pad><pad>,explicit,"<date October 10, 1945 1945 10<pad>10<pad><pad><pad><pad><pad>>"
DATE,DATE,"March 24, 2083",2083 03<pad>24<pad><pad><pad><pad><pad>,explicit,"<date March 24, 2083 2083 03<pad>24<pad><pad><pad><pad><pad>>"
DATE,DATE,"July 6, 1927",1927 07<pad>06<pad><pad><pad><pad><pad>,explicit,"<date July 6, 1927 1927 07<pad>06<pad><pad><pad><pad><pad>>"
DATE,DATE,in April 2028,2028 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 2028 2028 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on the sixteenth of March, two thousand and forty-two",2042 03<pad>16<pad><pad><pad><pad><pad>,explicit,"<date on the sixteenth of March, two thousand and forty-two 2042 03<pad>16<pad><pad><pad><pad><pad>>"
DATE,DATE,the seventh week of 2022,2022<pad>07<pad><pad><pad><pad><pad><pad>,explicit,<date the seventh week of 2022 2022<pad>07<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 1994,1994 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1994 1994 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1929/9/29,1929 09<pad>29<pad><pad><pad><pad><pad>,explicit,<date 1929/9/29 1929 09<pad>29<pad><pad><pad><pad><pad>>
DATE,DATE,"July 25, 2032",2032 07<pad>25<pad><pad><pad><pad><pad>,explicit,"<date July 25, 2032 2032 07<pad>25<pad><pad><pad><pad><pad>>"
DATE,DATE,"on the fifteenth of May, two thousand and eighteen",2018 05<pad>15<pad><pad><pad><pad><pad>,explicit,"<date on the fifteenth of May, two thousand and eighteen 2018 05<pad>15<pad><pad><pad><pad><pad>>"
DATE,DATE,June 3,<pad>06<pad>03<pad><pad><pad><pad><pad>,explicit,<date June 3 <pad>06<pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,November 7th,<pad>11<pad>07<pad><pad><pad><pad><pad>,explicit,<date November 7th <pad>11<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,in August 2074,2074 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 2074 2074 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,June 27,<pad>06<pad>27<pad><pad><pad><pad><pad>,explicit,<date June 27 <pad>06<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,August 25,<pad>08<pad>25<pad><pad><pad><pad><pad>,explicit,<date August 25 <pad>08<pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,in March 1957,1957 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 1957 1957 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-second week of 1964,1964<pad>32<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-second week of 1964 1964<pad>32<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 1900,1900 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 1900 1900 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1975/4/1,1975 04<pad>01<pad><pad><pad><pad><pad>,explicit,<date 1975/4/1 1975 04<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifty-second week of 2079,2079<pad>52<pad><pad><pad><pad><pad><pad>,explicit,<date the fifty-second week of 2079 2079<pad>52<pad><pad><pad><pad><pad><pad>>
DATE,DATE,November 17,<pad>11<pad>17<pad><pad><pad><pad><pad>,explicit,<date November 17 <pad>11<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,April 11th,<pad>04<pad>11<pad><pad><pad><pad><pad>,explicit,<date April 11th <pad>04<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,the sixteenth week of 2042,2042<pad>16<pad><pad><pad><pad><pad><pad>,explicit,<date the sixteenth week of 2042 2042<pad>16<pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 2019,2019<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2019 2019<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,February 1,<pad>02<pad>01<pad><pad><pad><pad><pad>,explicit,<date February 1 <pad>02<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,the five of the 3,<pad>03<pad>05<pad><pad><pad><pad><pad>,explicit,<date the five of the 3 <pad>03<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,the seventeenth week of 1903,1903<pad>17<pad><pad><pad><pad><pad><pad>,explicit,<date the seventeenth week of 1903 1903<pad>17<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the ninth week of 1902,1902<pad>09<pad><pad><pad><pad><pad><pad>,explicit,<date the ninth week of 1902 1902<pad>09<pad><pad><pad><pad><pad><pad>>
